neighborhood,lon,lat
Bayview,-122.38562,37.73089
Bernal Heights,-122.41679,37.74004
Castro/Upper Market,-122.43505,37.76234
Chinatown,-122.40714,37.79408
Crocker Amazon,-122.43751,37.71083
Diamond Heights,-122.44253,37.74230
Downtown/Civic Center,-122.41602,37.78335
Excelsior,-122.42086,37.72488
Financial District,-122.39911,37.79133
Glen Park,-122.43182,37.73792
Golden Gate Park,-122.48292,37.76892
Haight Ashbury,-122.44634,37.76929
Inner Richmond,-122.46508,37.77988
Inner Sunset,-122.46541,37.75848
Lakeshore,-122.48857,37.72259
Marina,-122.43660,37.80165
Mission,-122.41536,37.75898
Nob Hill,-122.41611,37.79294
Noe Valley,-122.43330,37.74934
North Beach,-122.40809,37.80427
Ocean View,-122.46236,37.71793
Outer Mission,-122.44412,37.72411
Outer Richmond,-122.49278,37.77781
Outer Sunset,-122.49380,37.75543
Pacific Heights,-122.43499,37.79242
Parkside,-122.48965,37.74128
Potrero Hill,-122.39334,37.75823
Presidio,-122.46633,37.79732
Presidio Heights,-122.45367,37.78642
Russian Hill,-122.41845,37.80116
Seacliff,-122.50107,37.78382
South of Market,-122.39999,37.77617
Treasure Island/YBI,-122.36954,37.82065
Twin Peaks,-122.45022,37.75213
Visitacion Valley,-122.41206,37.71477
Western Addition,-122.43345,37.78038
West of Twin Peaks,-122.45928,37.73755
